E_ID,Ewe Visual ID,Paint Brand,Ewe TSU#,EAC,Comments,
1,211895,,,,verde,
2,211747,,,,verde,
3,215658,,,,blanco,
4,215658,,,,blanco,
5,211921,,,,verde,
6,211210,,,,,
7,211289,,,,verde,
8,211915,,,,verde,
9,211173,,,,verde,
10,201520,,,,verde,
11,209229,,,,rojo,
12,205383,,,,blanco,
13,91874,,,,verde,
14,79227,,,,rojo,
15,91549,,,,verde,
16,75553,,,,blanco,
17,95087,,,,blanco,
18,91184,,,,verde,
19,211189,182,,,,
20,211644,108,,,,
21,211413,78,,,,
22,211775,526,,,,
23,211800,266,,,,
24,2210751,504,,,,
25,211798,195,,,,
26,2210213,326,,1,HNO Enfermo,
27,211821,382,,,,
28,211333,531,,,,
29,211741,37,,,,
30,211927,78,,1,HNO Enfermo,
31,91470,422,,,,
32,81695,258,,,,
33,91577,502,,,,
34,91592,245,,,,
35,91619,43,,,,
36,201012,294,,,,
37,81275,207,,,,
38,91605,656,,,,
39,201547,265,,,,
40,201432,345,,,,
41,201241,274,,,,
42,91159,731,,,,
43,201096,320,,,,
44,91546,616,,,,
45,201784,167,,,,
46,201485,717,,,,
47,201091,211,,,,
48,71675,1,,,,
49,201279,450,,,,
50,201052,272,,,,
51,91572,490,,,,
52,99004,300,,,,
53,209083,357,,,,
54,99084,726,,,,
55,209231,618,,,,
56,209072,271,,,,
57,209160,606,,,,
58,99158,379,,,,
59,99003,148,,,,
60,209135,736,,,,
61,5342,721,,,,
62,209222,387,,,,
63,99164,512,,,,
64,209241,,,,,
65,5434,520,,,madre ciego un ojo perdido,
66,5695,520,,,madre de arete verde - inseminada,
67,2291477,437,,,,
68,5343,171,,,,
69,4990,307,,,,
70,99152,269,,,,
71,99044,96,,,,
72,209153,184,,,,
73,4177,670,,,,
74,99133,466,,,,
75,4174,43,,,,
76,3883,410,,1,,
77,209203,149,,,,
78,229172,17,,1,,
79,229177,478,,1,,
80,79114,217,,,,
81,87009,416,,,,
82,99157,163,,1,,
83,209082,412,,2,,
84,209196,499,,1,,
85,209001,667,,1,,
86,209193,141,,1,,
87,209111,381,,,,
88,6301,187,,1,sc,
89,99192,449,,,,
90,99006,309,,,,
91,209258,487,,,,
92,229178,287,,,,
93,99014,282,,,,
94,229112,283,,,,
95,4175,305,,,,
96,89061,402,,,,
97,79242,525,,,,
98,6335,227,,,,
99,5438,242,,,,
100,209297,125,,,,
101,209271,719,,,,
102,89004,60,,,,
103,89075,649,,,,
104,229171,268,,,,
105,5339,95,,,,
106,209240,405,,,,
107,209233,120,,,,
108,209260,648,,,,
109,209249,622,,,,
110,99146,437,,,,
111,209023,401,,,,
112,209146,241,,,,
113,4055,486,,,,
114,209038,337,,,,
115,209015,398,,,,
116,92721,332,,,,
117,89123,384,,,,
118,729175,465,,,,
119,209205,126,,,,
120,209238,418,,,,
121,209138,4,,,,
122,89025,289,,,,
123,4129,672,,,,
124,209276,274,,,,
125,89104,314,,,,
126,6336,143,,,,
127,229120,602,,,,
128,209067,128,,,,
129,209148,583,,,,
130,209076,164,,,,
131,209155,104,,,,
132,209156,318,,,,
133,219185,46,,,,
134,6260,386,,,,
135,209035,468,,,,
136,99179,266,,,,
137,4982,619,,,,
138,229083,315,,,,
139,99047,212,,,,
140,209100,503,,,,
141,229182,333,,,,
142,4986,218,,,,
143,4134,433,,,,
144,79083,264,,,,
145,89014,104,,,,
146,209126,363,,,,
147,4992,645,,,,
148,99058,383,,,,
149,209293,134,,,,
150,229025,272,,,,
151,209130,84,,,,
152,5346,176,,,,
153,229170,441,,,,
154,209011,624,,,,
155,4987,290,,,,
156,229202,580,,,,
157,209272,243,,,,
158,229104,,,,,
159,229161,415,,,,
160,209191,951,,,,
161,209085,409,,,,
162,4490,421,,,,
163,6250,296,,,,
164,6253,341,,,,
165,209237,239,,,,
166,4053,248,,,,
167,89085,90,,,,
168,99104,272,,,,
169,6249,319,,,,
170,4981,198,,,,
171,209124,438,,,arete azul,
172,89047,254,,,arete azul,
173,6338,654,,,,
174,229108,471,,,,
175,209307,469,,,,
176,209217,449,,,,
177,209095,311,,,,
178,229152,70,,,,
179,209064,75,,,,
180,6144,316,,,,
181,6296,411,,,,
182,209107,224,,,,
183,209040,431,,,,
184,209030,429,,,,
185,6297,375,,,,
186,209289,324,,,,
187,229150,647,,,,
188,99158,684,,,,
189,229165,631,,,,
190,4984,495,,,,
191,89049,131,,,,
192,4980,35,,,,
193,6298,439,,,,
194,5103,384,,,,
195,209308,137,,,,
196,219089,598,,,,
197,99112,85,,,,
198,209200,431,,,,
199,219196,492,,,,
200,209079,67,,,,
201,219142,,,,,
202,6145,563,,,,
203,3111,537,,,,
204,229029,523,,,,
205,6587,234,,,,
206,4993,565,,,,
207,6588,312,,,,
208,95526,576,,,aretes blancos,
209,75406,55,,,,
210,215214,485,,,,
211,91149,201,,,,
212,2250693,463,,,,
213,85089,533,,,,
214,215581,261,,,,
215,95689,572,,,,
216,205207,712,,,,
217,215294,317,,,,
218,85302,664,,,,
219,215268,544,,,,
220,215888,369,,,,
221,85314,413,,,,
222,85403,715,,,,
223,2250335,374,,,,
224,75616,534,,,,
225,205430,310,,,,
226,95567,589,,,,
227,205037,172,,,,
228,95539,699,,,,
229,95530,21,,,,
230,2250073,243,,,,
231,2250696,528,,,,
232,2250653,348,,,,
233,205407,396,,,,
234,225053,99,,,,
235,2250258,44,,,,
236,215877,276,,,,
237,215518,371,,,,
238,75099,729,,,,
239,2250442,220,,m,hermano enfermo (m),
240,75319,376,,,,
241,85586,426,,,,
242,2250602,662,,,,
243,205540,521,,,,
244,85130,34,,,,
245,75700,215,,,,
246,95299,64,,,,
247,215497,,,,,
248,2250038,388,,,,
249,215152,571,,,,
250,95056,170,,,,
251,215014,253,,,,
252,205192,235,,,,
253,2250100,291,,,,
254,85017,512,,,,
255,95098,527,,,,
256,95522,334,,,blanco,
257,95227,222,,,,
258,2250660,354,,,,
259,85485,385,,,,
260,85189,91,,,,
261,215023,531,,,,
262,95367,652,,1,blanco,
263,205350,236,,1,,
264,85664,737,,1,,
265,205411,460,,1,,
266,215231,229,,,,
267,95450,596,,,,
268,95064,609,,1,blanco,
269,95259,635,,2,,
270,95444,509,,1,,
271,205107,697,,1,,
272,215303,169,,,,
273,215801,497,,,,
274,215306,119,,1,blanco,
275,215686,689,,1,,
276,95702,115,,,,
277,205085,418,,,,
278,215475,642,,,,
279,95727,23,,2,small lambs - 1 lamb death,
280,85240,214,,1,blanco,
281,55549,9,,,,
282,215325,404,,1,,
283,215078,716,,1,,
284,85193,546,,1,,
285,215243,62,,1,,
286,2250436,176,,1,blanco,
287,205296,687,,1,one lamb small,
288,215511,30,,,,
289,95012,444,,,,
290,215646,371,,1,,
291,95640,280,,1,,
292,205267,462,,,,
293,85040,496,,,,
294,205217,175,,,,
295,215245,128,,,,
296,55535,443,,,,
297,215429,60,,,,
298,2250341,90,,,,
299,2250389,139,,,,
300,215183,607,,,,
301,95560,184,,,,
302,85461,361,,,,
303,2250385,247,,,,
304,85073,578,,,,
305,85282,392,,,,
306,85349,47,,,,
307,95264,486,,,,
308,95803,643,,,,
309,75304,621,,,,
310,95582,224,,,,
311,85317,710,,,,
312,205113,15,,,,
313,215328,415,,,,
314,85023,236,,,,
315,95032,84,,,,
316,215830,263,,,,
317,2250488,464,,,,
318,95462,232,,,,
319,2250463,442,,,,
320,95499,713,,,,
321,85412,425,,,,
322,85084,653,,,,
323,205193,219,,,,
324,95398,650,,,,
325,215232,11,,,,
326,2250011,13,,,,
327,95734,494,,,,
328,75568,306,,,,
329,215728,735,,,,
330,85085,377,,,,
331,95106,242,,,,
332,215907,206,,,,
333,85406,690,,,,
334,2250623,231,,,,
335,2250176,364,,,,
336,75572,378,,,,
337,95246,487,,,,
338,95288,343,,,,
339,205033,361,,,,
340,2250106,584,,,,
341,205613,354,,,,
342,215288,200,,,,
343,205205,627,,,,
344,2250377,321,,,,
345,85503,198,,,,
346,205357,234,,,,
347,95221,246,,,,
348,75537,446,,,,
349,215337,89,,,,
350,85372,444,,,,
351,205162,45,,,,
352,95424,400,,,,
353,95667,529,,,,
354,95678,304,,,,
355,95420,158,,,,
356,2250684,568,,,,
357,2250653,331,,,,
358,75587,424,,,,
359,95093,378,,,,
360,95102,569,,,,
361,85208,40,,,,
362,215739,491,,,,
363,95278,270,,,,
364,95301,115,,,,
365,2250126,185,,,,
366,215157,291,,,,
367,95339,335,,,,
368,75570,538,,,,
369,215828,196,,,,
370,75611,447,,,,
371,2250733,87,,,,
372,215086,493,,,,
373,2250411,180,,,,
374,215800,238,,,,
375,205404,604,,,,
376,2250344,335,,,,
377,75704,63,,,,
378,95669,281,,,,
379,95280,385,,,,
380,205057,408,,,,
381,2250354,617,,,,
382,85400,72,,,,
383,95516,107,,,,
384,2250405,462,,,,
385,205096,145,,,,
386,95285,454,,,,
387,218875,356,,,,
388,2250725,42,,,,
389,85351,561,,,,
390,75071,567,,,,
391,95486,279,,,,
392,215109,,,,,
393,95474,448,,,,
394,95574,540,,,,
395,2250128,305,,,,
396,95724,259,,,,
397,215041,338,,,,
398,75691,541,,,,
399,215181,492,,,,
400,215817,24,,,,
401,215494,25,,,,
402,215840,27,,,,
403,215662,232,,,,
404,215500,469,,,,
405,85140,464,,,,
406,2250145,28,,,,
407,95144,66,,,,
408,215071,412,,,,
409,215012,363,,,,
410,215234,391,,,,
411,2250362,344,,,,
412,205011,265,,,,
413,215924,445,,,,
414,95083,681,,,,
415,85353,285,,,,
416,95698,612,,,,
417,205008,559,,,,
418,215526,530,,,blanco,
419,215874,536,,,,
420,2250044,225,,,,
421,2051990,119,,,,
422,75701,534,,,,
423,205151,711,,,,
424,205100,288,,,,
425,205342,347,,,,
426,85019,373,,,,
427,95068,413,,,,
428,205277,500,,,,
429,85469,480,,,,
430,95641,82,,,,
431,215189,411,,,,
432,95481,240,,,,
433,205455,675,,,,
434,215585,186,,,,
435,95581,150,,,,
436,75702,176,,,,
437,95205,101,,,,
438,85213,94,,,,
439,95178,250,,,,
440,215631,239,,,,
441,95387,94,,,,
442,95188,,,,,
443,95341,511,,,,
444,215165,460,,,,
445,85478,440,,,,
446,85220,273,,,,
447,75729,626,,,,
448,205462,554,,,,
449,85537,636,,,,
450,205123,31,,,,
451,215522,37,,,,
452,95549,359,,,,
453,205299,666,,,,
454,95711,242,,,,
455,215148,352,,,,
456,2250688,520,,,,
457,85542,420,,,,
458,205166,368,,,,
459,95261,396,,,,
460,218871,494,,,,
461,215280,358,,,,
462,95213,248,,,,
463,95415,251,,,,
464,215789,168,,,,
465,215868,372,,,,
466,85347,32,,,,
467,2250049,428,,,,
468,95585,350,,,,
469,205332,528,,,,
470,205550,178,,,,
471,85104,508,,,,
472,205156,336,,,,
473,95156,515,,,,
474,2250085,480,,,,
475,215773,132,,,,
476,95496,714,,,,
477,2250034,324,,,,
478,215547,603,,,,
479,75464,655,,,,
480,95380,338,,,,
481,85362,452,,,,
482,215720,430,,,,
483,2250428,199,,,,
484,215215,454,,,,
485,215602,351,,,,
486,75533,673,,,,
487,95013,292,,,,
488,95493,188,,,,
489,85591,638,,,,
490,205065,463,,,,
491,95659,202,,,,
492,75742,517,,,,
493,95476,543,,,,
494,215351,529,,,,
495,215580,417,,,,
496,85532,206,,,,
497,205132,632,,,,
498,95596,259,,,,
499,85171,599,,,,
500,205106,739,,,,
501,95693,295,,,,
502,85381,252,,,,
503,85672,704,,,,
504,205221,700,,,,
505,95161,233,,,,
506,85210,393,,,,
507,85556,39,,,,
508,2250618,247,,,,
509,85031,69,,,,
510,85105,159,,,,
511,215892,109,,,,
512,215039,734,,,,
513,95392,323,,,,
514,215287,246,,,,
515,215560,16,,,,
516,85559,83,,,,
517,75405,240,,,,
518,215848,233,,,,
519,95021,135,,,,
520,215683,88,,,,
521,95020,352,,,,
522,215510,410,,,,
523,215047,328,,,,
524,85553,157,,,,
525,85617,375,,,,
526,215607,209,,,,
527,85197,446,,,,
528,95790,41,,,,
529,2250161,273,,,,
530,205381,226,,,,
531,75606,45,,,,
532,75310,477,,,,
533,75221,669,,,,
534,85584,5,,,,
535,2250502,483,,,,
536,215218,339,,,,
537,215207,404,,,,
538,95245,592,,,,
539,85408,503,,,,
540,215140,416,,,,
541,215254,233,,,,
542,85018,144,,,,
543,215188,380,,,,
544,85511,22,,,,
545,85588,445,,,,
546,2250561,,,,,
547,205510,275,,,,
548,85047,403,,,,
549,85121,362,,,,
550,205565,2,,,,
551,95428,274,,,,
552,75006,267,,,,
553,95468,223,,,,
554,215733,190,,,,
555,75430,249,,,,
556,95710,202,,,,
557,215651,741,,,,
558,205256,185,,,,
559,205585,200,,,,
560,205249,407,,,,
561,85093,403,,,,
562,85190,419,,,,
563,95047,194,,,,
564,95423,208,,,,
565,95035,66,,,,
566,85102,498,,,,
567,85345,469,,,,
568,2250194,263,,,,
569,65436,383,,,,
570,205136,553,,,,
571,85558,39,,,,
572,215589,,,,,
573,95564,674,,,,
574,95408,166,,,,
575,2250055,269,,,,
576,85430,59,,,,
577,95664,548,,,,
578,215450,459,,,,
579,215180,585,,,,
580,205244,85,,,,
581,85680,307,,,,
582,205490,728,,,,
583,85183,450,,,,
584,215534,432,,,,
585,2250609,178,,,,
586,215391,92,,,,
587,215725,254,,,,
588,215703,147,,,,
589,95533,518,,,,
590,95069,7,,,,
591,215527,14,,,,
592,215625,,,,,
593,205211,42,,,,
594,2250066,389,,,,
595,215419,577,,,,
596,215943,575,,,,
597,95290,269,,,,
598,215591,319,,,,
599,215756,201,,,,
600,85169,114,,,,
601,215171,151,,,,
602,215561,489,,,,
603,215279,522,,,,
604,95394,452,,,,
605,85649,301,,,,
606,95616,397,,,,
607,85596,475,,,,
608,95044,313,,,,
609,215685,264,,,,
610,2250654,210,,,,
611,215608,525,,,,
612,205064,679,,,,
613,205291,461,,,,
614,205514,360,,,,
615,215322,204,,,,
616,2250566,394,,,,
617,215665,397,,,,
618,2250687,278,,,,
619,85472,36,,,,
620,95458,235,,,,
621,215151,93,,,,
622,215063,281,,,,
623,85088,533,,,,
624,95505,51,,,,
625,2250605,467,,,,
626,215102,12,,,,
627,205588,702,,,,
628,91317,278,,,una ubre mal se quito 2 corderos,
629,211596,243,,,,
630,91282,686,,,,
631,91926,255,,,,
632,81008,423,,,,
633,71735,381,,,,
634,211272,322,,,,
635,211005,101,,,,
636,211200,326,,,,
637,91560,644,,,,
638,201696,450,,,,
639,201517,691,,,,
640,201127,116,,,,
641,81046,392,,,,
642,211104,80,,,,
643,201155,391,,,,
644,211862,28,,,,
645,71336,209,,,,
646,71630,353,,,,
647,91138,385,,,,
648,81289,557,,,,
649,71821,389,,,,
650,201207,504,,,cordero enfermo,
651,6337,337,,,perdio arete,
652,201374,270,,,,
653,2210027,273,,,,
654,81083,52,,,,
655,211952,683,,,,
656,81641,346,,,,
657,91525,176,,,,
658,201089,510,,,,
659,91502,100,,,,
660,201331,660,,,,
661,201364,121,,,,
662,211365,366,,,,
663,91031,597,,,,
