L_ID,E_ID,
1,1,
2,2,
3,3,
4,4,
5,5,
6,6,
7,7,
8,8,
9,9,
10,9,
11,10,
12,11,
13,12,
14,12,
15,13,
16,14,
17,14,
18,15,
19,16,
20,16,
21,17,
22,18,
23,19,
24,19,
25,20,
26,21,
27,21,
28,22,
29,22,
30,23,
31,23,
32,23,
33,24,
34,25,
35,25,
36,26,
37,27,
38,28,
39,28,
40,29,
41,29,
42,30,
43,31,
44,31,
45,32,
46,32,
47,32,
48,33,
49,34,
50,35,
51,35,
52,36,
53,36,
54,37,
55,37,
56,38,
57,38,
58,39,
59,40,
60,41,
61,41,
62,42,
63,42,
64,43,
65,43,
66,44,
67,44,
68,45,
69,46,
70,46,
71,47,
72,47,
73,48,
74,48,
75,48,
76,49,
77,49,
78,50,
79,50,
80,51,
81,52,
82,53,
83,53,
84,54,
85,54,
86,54,
87,55,
88,55,
89,56,
90,57,
91,58,
92,58,
93,59,
94,59,
95,60,
96,60,
97,61,
98,61,
99,62,
100,63,
101,63,
102,64,
103,65,
104,65,
105,66,
106,66,
107,67,
108,68,
109,68,
110,69,
111,70,
112,71,
113,71,
114,72,
115,73,
116,74,
117,75,
118,75,
119,76,
120,76,
121,76,
122,77,
123,77,
124,78,
125,79,
126,80,
127,80,
128,81,
129,82,
130,82,
131,83,
132,83,
133,84,
134,84,
135,85,
136,86,
137,86,
138,87,
139,87,
140,88,
141,89,
142,90,
143,91,
144,92,
145,93,
146,93,
147,94,
148,95,
149,95,
150,96,
151,96,
152,97,
153,97,
154,98,
155,98,
156,99,
157,99,
158,100,
159,101,
160,101,
161,102,
162,103,
163,103,
164,104,
165,105,
166,105,
167,106,
168,106,
169,107,
170,108,
171,109,
172,109,
173,110,
174,111,
175,112,
176,112,
177,113,
178,114,
179,115,
180,115,
181,116,
182,117,
183,117,
184,118,
185,119,
186,120,
187,120,
188,121,
189,122,
190,122,
191,123,
192,124,
193,125,
194,126,
195,127,
196,128,
197,128,
198,129,
199,130,
200,130,
201,131,
202,131,
203,132,
204,132,
205,133,
206,134,
207,134,
208,134,
209,135,
210,135,
211,136,
212,137,
213,138,
214,139,
215,139,
216,140,
217,140,
218,141,
219,141,
220,142,
221,143,
222,144,
223,145,
224,145,
225,146,
226,147,
227,147,
228,148,
229,148,
230,149,
231,150,
232,151,
233,152,
234,153,
235,154,
236,155,
237,155,
238,156,
239,157,
240,157,
241,158,
242,159,
243,160,
244,161,
245,162,
246,162,
247,163,
248,163,
249,164,
250,165,
251,166,
252,166,
253,167,
254,168,
255,168,
256,169,
257,169,
258,170,
259,170,
260,171,
261,172,
262,172,
263,173,
264,174,
265,175,
266,175,
267,176,
268,177,
269,178,
270,178,
271,179,
272,180,
273,181,
274,181,
275,182,
276,183,
277,183,
278,184,
279,185,
280,186,
281,187,
282,188,
283,188,
284,189,
285,190,
286,190,
287,191,
288,192,
289,192,
290,193,
291,194,
292,195,
293,195,
294,196,
295,197,
296,198,
297,199,
298,200,
299,200,
300,201,
301,202,
302,203,
303,204,
304,204,
305,205,
306,206,
307,206,
308,207,
309,208,
310,208,
311,209,
312,209,
313,210,
314,211,
315,212,
316,212,
317,213,
318,213,
319,214,
320,214,
321,215,
322,215,
323,216,
324,216,
325,217,
326,218,
327,219,
328,220,
329,220,
330,221,
331,221,
332,222,
333,223,
334,223,
335,224,
336,225,
337,226,
338,227,
339,228,
340,228,
341,228,
342,229,
343,229,
344,230,
345,230,
346,231,
347,232,
348,233,
349,234,
350,234,
351,235,
352,236,
353,237,
354,237,
355,238,
356,239,
357,240,
358,240,
359,241,
360,241,
361,242,
362,243,
363,243,
364,244,
365,244,
366,244,
367,245,
368,246,
369,246,
370,246,
371,247,
372,248,
373,249,
374,249,
375,249,
376,250,
377,250,
378,251,
379,251,
380,252,
381,253,
382,254,
383,255,
384,255,
385,256,
386,257,
387,258,
388,258,
389,259,
390,259,
391,260,
392,261,
393,261,
394,262,
395,262,
396,263,
397,264,
398,264,
399,265,
400,265,
401,266,
402,267,
403,267,
404,268,
405,268,
406,269,
407,269,
408,269,
409,270,
410,270,
411,270,
412,271,
413,272,
414,273,
415,274,
416,274,
417,275,
418,276,
419,277,
420,277,
421,278,
422,278,
423,279,
424,279,
425,279,
426,280,
427,281,
428,282,
429,283,
430,284,
431,284,
432,285,
433,286,
434,287,
435,287,
436,288,
437,288,
438,289,
439,290,
440,290,
441,290,
442,291,
443,291,
444,292,
445,293,
446,293,
447,294,
448,294,
449,294,
450,295,
