L_ID,Lamb ID,Date,Time,Sex,Weight,LAC,Comments,Multiple
1,9004,5,,F,,,verde,
2,9000,1,,F,,,rojo,
3,9002,3,,M,,,blanco,
4,9005,6,,F,,,verde,
5,9006,,,M,,,verde,
6,9009,,,f,,,verde,
7,9010,,,m,,,,
8,9011,,,f,,,,
9,9013,,,f,,,cuates,
10,9014,,,f,,,cuates,
11,9016,,,m,,,,
12,9020,,,f,,,,
13,9018,,,m,,,,
14,9019,,,m,,,,
15,9017,,,m,,,,
16,9015,,,m,,,,
17,9016,,,m,,,,
18,9012,,,f,,,,
19,9007,,,f,,,cuates,
20,9008,,,f,,,cuates,
21,9003,4,,f,,,blanco,
22,9001,2,,m,,,verde,
23,2410000,5/1/24,4:00 PM,m,12.0,,,
24,2410001,5/1/24,4:15 PM,m,11.4,,,
25,2410002,4/30/24,6:00 AM,f,10.2,,,
26,2410003,5/2/24,5:00 AM,m,9.0,,,
27,2410004,5/2/24,5:05 AM,m,11.0,,,
28,2410010,5/3/24,6:00 AM,m,9.0,,,
29,2410011,5/3/24,6:00 AM,f,10.2,,,
30,2410012,5/3/24,6:00 AM,f,6.4,,,
31,2410013,5/3/24,6:00 AM,f,6.4,,,
32,2410014,5/3/24,6:00 AM,f,8.4,,,
33,2410028,5/3/24,1:00 PM,f,9.0,,,
34,2410039,5/4/24,5:00 AM,f,9.0,,,
35,2410040,5/4/24,5:00 AM,m,6.2,,,
36,24100211,5/4/24,6:00 AM,m,10.2,,,
37,2410042,5/4/24,6:00 AM,m,13.0,,,
38,2410045,5/4/24,7:00 AM,m,9.8,,,
39,2410046,5/4/24,7:00 AM,m,11.6,,,
40,2410051,5/3/24,8:00 PM,m,8.0,,,
41,2410052,5/3/24,8:00 PM,m,9.4,,,
42,2410053,5/4/24,8:00 AM,m,8.6,,,
43,2410030,5/3/24,3:00 PM,m,11.0,,,
44,2410031,5/3/24,3:00 PM,f,8.2,,,
45,2410032,5/3/24,5:30 PM,f,8.8,,,
46,2410033,5/3/24,5:35 PM,m,8.8,,,
47,2410034,5/3/24,5:45 PM,f,7.4,,,
48,2410035,5/3/24,5:30 PM,m,12.0,,,
49,2410036,5/4/24,3:00 AM,m,13.8,,,
50,2410037,5/4/24,4:00 AM,f,10.0,,pata chueca,
51,2410038,5/4/24,4:00 AM,m,12.2,,,
52,2410043,5/4/24,6:00 AM,f,10.0,,,
53,2410044,5/4/24,6:00 AM,f,9.8,,,
54,2410047,5/4/24,7:00 AM,m,9.0,,,
55,2410048,5/4/24,7:00 AM,m,10.4,,,
56,2410049,5/3/24,7:00 PM,m,10.0,,,
